ESTOPERAS DE RUEDA;;;;;;;;;;;
Referecia (1) National;Aplicación;;;;ALTURA;;;;;;
;;CANTIDAD;INTERIOR;EXTER;;COSTO;CARACAS;ORIENTE;CATEGORIA;EQUIVALENCIA;MARCA
4148;Estopera, Ford F-150 Modelo Moderno, Delantera;;50.8;66.62;7.5;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;50017;
4160;Estopera, Ford F-350 Moderno Delantera;;61.46;76.20;6.9/10;1,50;3,33;3,75;ESTOPERAS DE RUEDA ;61001;
4249;Estopera Rueda Trasera Dodge LeBaron/Spirit;;45.90;59.97/72.8;9.65;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;;
4250;Estopera, Ford Bronco 4x4 Delantera;;63.5;83.89/91;9.2;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;63012;
4359;Estopera Suzuki Grand Vitara Trasera Externa = 5371;;53;71;9;2,30;5,11;5,75;ESTOPERAS DE RUEDA ;5371;
4740;Estopera, Chevrolet Cheyenne 3500 Delantera;;55.37;76.18;6.35;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;55014;
4762N;Estopera Rueda Trasera Blazer/C-10;;41.1;72.16/80.8;13.7;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;39016;
5121;Estopera, Dodge D-100/200/300 (74/86), Dart/Aspen Delantera;;49.20;66.60;6.35/14.3;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;50008;
5125;Estopera Rueda Delantera Ford, F-100 Modelo Viejo Frenos De Banda ;;50.80;66.50;6.35/15.9;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
5481;Estopera Rueda Trasera Autobus Blue Bird;;139.70;160.43;31.75;14,40;32,00;36,00;ESTOPERAS DE RUEDA ;;
5667;Estopera, Ford F-750 Trasera Con Zuncho ;;101.60;144.65/155;21.59;9,00;20,00;22,50;ESTOPERAS DE RUEDA ;101008;
5698;Estopera Rueda Delantera Century ;;60;90.38;7.5/8;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
5778;Estopera Piñòn Blazer/C-10/Cheyenne/C-30 Dana;;38.10;71.30/80.40;13.64;1,70;3,78;4,25;ESTOPERAS DE RUEDA ;39002;
6358;Estopera Rueda Trasera Chevy Metro P-31;;80.95;117.48;11.2;5,10;11,33;12,75;ESTOPERAS DE RUEDA ;80004;
6465;Estopera Rueda Trasera Jeep Series CJ-2, CJ-3, CJ-5;;50.8;67/116;14.2;5,50;12,22;13,75;ESTOPERAS DE RUEDA ;;
6638S;Estopera Delantera Ford F-750/Mack/F7000/F9000;;88.9;111./122.9;22;5,70;12,67;14,25;ESTOPERAS DE RUEDA ;88009;
6780S;Estopera Rueda Delantera Ford/Dodge;;73.02;104.78;10.5;4,90;10,89;12,25;ESTOPERAS DE RUEDA ;;
6808-N;Estopera Piñòn F-350/Blazer/Toyota 4.5 = 9316;;47.62;71.2/80.26;13/14.27;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;47017;
6815;Estopera, Ford Auto Delantera;;49.2;63.55;6.35;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;49021;
6954;Estopera Rueda Delantera Ford F-350  Frenos de Tambor (60/75);;52.3;76.10;7.92;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;;
8430;Estopera Rueda Delantera Jeep Series CJ-5, CJ-6, CJ-7;;53.97;76.20;7.92;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
8660S;"Estopera, Rueda Trasera Chevrolet Series: Malibù/Caprice/Nova/Montecarlo; Mazda, Jeep";;35.53;58.21;12;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;;
8695;Estopera, Rueda Trasera Interna Dodge Series: Dart/Aspen/D100, Compañera (8704S);;39.37;68.22;12.7;0,00;0,00;0,00;ESTOPERAS DE RUEDA ;;
8704S;Estopera Rueda Trasera Dodge Dart ;;50;52;6;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
8705;Estopera Rueda Delantera Chevrolet (64/80);;44.04;60.96;5.8;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
8835S;Estopera Rueda Trasera Caprice/Impala/C-10;;41.09;65.40;12.7;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;41013;
8871;Estopera, Vehiculos Chevrolet;;50.8;65.07/70.1;6.4;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;;
8974-S;Estopera, C-30 Delantera;;55.37;76.20;12.57;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;55012;
8976S;Estopera Rueda Delantera Chevrolet C-60;;;;;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;;
9128-S;Estopera, Chevrolet C-60 Trasera;;105.82;139.73;15.24;6,60;14,67;16,50;ESTOPERAS DE RUEDA ;105001;
9150-S;Estopera, Ford Explorer Delantera;;49.23;65.48;7.41;1,40;3,11;3,50;ESTOPERAS DE RUEDA ;49014;
9161;Estopera Rueda Trasera Ford Fairlane/LTD/Maverick;;33.70;58.83;11.14;1,40;3,11;3,50;ESTOPERAS DE RUEDA ;;
9569S;Estopera Rueda Trasera Ford 80;;34.67;57.38;11.05;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
9613S;Estopera Cola De Caja Chevrolet, Camaro, Malibù, Ford, Jeep y otros;;38.10;60.33;12;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;39006;
9773;Estopera Piñòn Ford F-750 = 9773;;66.68;115.9;12.7/18.2;4,80;10,67;12,00;ESTOPERAS DE RUEDA ;66006;
9864-S;Estopera, Ford F-350 Trasera Reforzada;;73.02;98.42;13.08;2,70;6,00;6,75;ESTOPERAS DE RUEDA ;73002;
9912;Estopera, Vehiculos con Rodamientos set 10 Interno Baja;;47.62;71.71/73.07;9.5/12.6;2,30;5,11;5,75;ESTOPERAS DE RUEDA ;2689;
21961;Estopera Rueda Delantera De Mozo Chevrolet Blazer (90/94), 4x4;;55.90;69.46/74.2;9.8;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;3553;
23035;Estopera Rueda Delantera Jeep Frenos De Disco;;58.72;76.20;6.35;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;;
28830;Estopera Rueda Delantera Ford F-750 (68/88);;73.02;96.9/106.0;20.65;2,90;6,44;7,25;ESTOPERAS DE RUEDA ;;
40571;Estopera, Ford Fiesta Trasera;;40;55;8;0,60;1,33;1,50;ESTOPERAS DE RUEDA ;;
46902;Estopera, Mitsubishi Canter Trasera Externa;;46;102;10/16.;2,70;6,00;6,75;ESTOPERAS DE RUEDA ;46902;
51098;Estopera Universal Set 10;;38.10;63.55;11.1;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;38029;
52902;Estopera Trasera Externa Hyundai H70;;52;112;10.5/15.5;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;52902;
55743;Estopera Rueda Delantera Interna Ford Escort;;55;70;6/10.5;0,000;0,00;0,00;ESTOPERAS DE RUEDA ;;
60830;Estopera, Autobusete Mercedes Benz-Caio Delantera;;60;80;10;1,90;4,22;4,75;ESTOPERAS DE RUEDA ;60830;
70970;Estopera, Mitsubishi Canter Trasera Interna;;70;112;10/18.;3,00;6,67;7,50;ESTOPERAS DE RUEDA ;70970;
85979;Estopera Rueda Trasera Interna JAC 1040;;85;115;13.;3,00;6,67;7,50;ESTOPERAS DE RUEDA ;85979;
114003;"Estopera De Batea Mack Ring 20/24""";;25.4;33.32;3.175;6,00;13,33;15,00;ESTOPERAS DE RUEDA ;25024;
130921;Estopera Trasera Interna Mitsubishi FK 615;;130;146;14;5,50;12,22;13,75;ESTOPERAS DE RUEDA ;130921;
224254;Estopera Rueda Delantera Chevrolet Swift;;;;;1,80;4,00;4,50;ESTOPERAS DE RUEDA ;42659;
229862N;Estopera Rueda Trasera Autobusete Mercedes Caio;;90;135;15;3,40;7,56;8,50;ESTOPERAS DE RUEDA ;90948N;
328802;Estopera Rueda Trasera, Hyundai Excel/Mazda 323 metal;;;;;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
328905;Estopera Rueda Delantera Matiz/Spark;;46;62;8/14.;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;;
370001A;Estopera Rueda Delantera Ford F750/Mack;;88.90;122.99;23.5;18,30;40,67;45,75;ESTOPERAS DE RUEDA ;;
370003A;Estopera, Camion Kodiak / FVR Trasera/Freightliner…..;;121.03;160.3;27.6;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;121002;
370003AGOS;Estopera, Camión Mack / FVR Trasera Escalonada;;121.03;160.03;27.38;6,00;13,33;15,00;ESTOPERAS DE RUEDA ;121001;
370005A;Estopera Rueda Trasera Ford F-9000;;121.03;158.77;15.36;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;;
370022;"Estopera, Mack Ring 20 """;;114.3;146.05;25.5;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;114004;
370023A;Estopera, Ford F-750 Trasera En Bano De Aceite;;98.43;144.53;22.23;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;98005;
370025A;Estopera, Mack Chuto;;117.48;152.7;22.2;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;117006-1+117006-2;
370031;"Estopera, Mack Ring 20 """;;107.95;158.75;35.2;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;107003;
370033A;"Estopera Mack Rin 20"",Eje Mack Rueda Delantera(320-2039) 101010-1-NB7002";;101.6;130.1;24.2;22,20;49,33;55,50;ESTOPERAS DE RUEDA ;;
370036A;Estopera Batea Mack R20 Trans.Clarck;;;;;22,20;49,33;55,50;ESTOPERAS DE RUEDA ;;
370047A;Estopera, Ford F-600 Trasera Con Bano De Aceite (1307);;87.29;120.77;15.3;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;87008;
370048A;Estopera Rueda Trasera Standard;;111.12;149.98;25.4;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;;
370065A;Estopera Rueda Delantera/Trasera, Mack Fruehauf;;107.95;152.6;25.4;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;;
370069;"Estopera, Mack Ring 24""";;133.35;187.32;25.4;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;133007;
370106A;Estopera Rueda Trasera Interna, Chevrolet C-60 Camión;;105.82;139.70;24.5;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;;
370132A;Estopera Rueda Delantera Ford F7000/750;;88.9;115.39;21.5;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;;
370211;Estopera, Camion Kodiak Delantera;;;;;14,40;32,00;36,00;ESTOPERAS DE RUEDA ;370211;
376590A;Estopera Rueda Fruehauf Batea;;;;;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;;
455086;Estopera, Dodge D-300 Trasera;;76.20;107.95;11.89;2,70;6,00;6,75;ESTOPERAS DE RUEDA ;76004;
455249;Estopera Rueda Trasera Camion Dodge D500/600;;85.73;119.08;12.7;4,50;10,00;11,25;ESTOPERAS DE RUEDA ;85013;
470547;Estopera Rueda Delantera Jeep (84/89);;;;;0,00;0,00;0,00;ESTOPERAS DE RUEDA ;;
471271;Estopera, Jeep Wagoneer Delantera;;63.5;82.57;9.52;1,70;3,78;4,25;ESTOPERAS DE RUEDA ;63013;
473228;Estopera Trasera interna Suzuki Grand Vitara;;38.1;63.5;7.95;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
473471;Estopera Rueda Delantera Chevy Metro P31;;55.55;77.77;9.52;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;55017;
475458;Estopera Rueda Trasera Camion J-400 Dodge;;66.68;92.02;9.52;2,20;4,89;5,50;ESTOPERAS DE RUEDA ;66009;
477069;Estopera Piñòn Camiòn Chevrolet C-60;;65.99;101.6/117;20;4,50;10,00;11,25;ESTOPERAS DE RUEDA ;;
481181;Estopera, Rueda Trasera, Hyundai Excel/Mazda 323 Goma;;41.28;53.98;6.35;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;41021;
492702;Estopera, Ford F-150 Modelo Viejo;;50.8;66.62;6.35;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;50018;
493291;Estopera Rueda Delantera Dodge D-300;;57.98;80.14;9.52;1,50;3,33;3,75;ESTOPERAS DE RUEDA ;57035;
493637;Estopera Rueda Delantera Ford F-350, Hasta el año 84;;59.18;76.12;7.92;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;59001;
710058;Estopera Rueda Trasera Jeep/AMC;;49.2;65.07;8;0,00;0,00;0,00;ESTOPERAS DE RUEDA ;;
710168;Estopera Rueda Delantera Isuzu Caribe 442;;59;75;10;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
40102143;Estopera, Iveco Turbo Daily Trasera Modelo 5912;;95;130;16;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;95969-1+95969-2;
97023977;Estopera Rueda Trasera Interna NPR Frenos De Aire;;79.9;113.35;24;18,00;40,00;45,00;ESTOPERAS DE RUEDA ;80006;
928353001;Estopera Rueda Delantera Chevrolet Swift Todos;;53;68.2;7;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;53623;
1096250060;Estopera, Encava Rueda Delantera;;75;94/112;10/17.5;6,60;14,67;16,50;ESTOPERAS DE RUEDA ;75971;
1096250430;Estopera, Encava Rueda Trasera Interna;;95;113/132;12./22.;9,00;20,00;22,50;ESTOPERAS DE RUEDA ;95956;
1096253310;Estopera, Encava Rueda Trasera Externa;;56;122;8/10.5;4,20;9,33;10,50;ESTOPERAS DE RUEDA ;56903;
8941565890;Estopera de Alternador Bomba de vacio NPR, NKR, NHR;;15;32;7.5;3,00;6,67;7,50;ESTOPERAS DE RUEDA ;15341;
8942481171;Estopera, NPR Delantera;;73;90;8;2,40;5,33;6,00;ESTOPERAS DE RUEDA ;73921;
8943363171;Estopera, NPR Trasero Externo;;49;100;08/10.;3,80;8,44;9,50;ESTOPERAS DE RUEDA ;49901;
8943679580;Estopera, NPR Trasero Interno;;80;113;12/22.0;7,40;16,44;18,50;ESTOPERAS DE RUEDA ;80972;
8971229370;Estopera, Autobusete Encava E-NT900 Trasera Interna;;82;121;12/17.5;9,00;20,00;22,50;ESTOPERAS DE RUEDA ;82929E;
09625-484;Estopera Piñón Encava 59x103x12;;59;103;12;0,00;0,00;0,00;ESTOPERAS DE RUEDA ;;
1-09625449-1;Estopera, F.V.R. Rueda Delantera;;120;152;17/18.5;12,00;26,67;30,00;ESTOPERAS DE RUEDA ;120962;
1-09625484-0;Estopera, Piñon Diferencial (Yoke) Encava, NPR, FVR;;60;103;12./20.0;7,50;16,67;18,75;ESTOPERAS DE RUEDA ;60942ET;
150-33065;Estopera Rueda Delantera Interna, Festiva Metal;;;;;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
150-33067;Estopera Rueda Delantera Externa, Festiva Metal/Goma;;;;;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;;
51713-21100;Estopera Rueda Delantera, Hyundai Series: Excel/Accent/Elantra;;50;66.5;13/15.5;1,60;3,56;4,00;ESTOPERAS DE RUEDA ;;
53820-65D00;Flanche de la punta de eje trasera de la Grand Vitara Pastilla: 7559;;;;;9,00;20,00;22,50;ESTOPERAS DE RUEDA ;;
5649 / 1307;Estopera, Ford F-600 Trasera Con Zuncho (1307);;90.47;120.77/130;13.97;7,80;17,33;19,50;ESTOPERAS DE RUEDA ;90003;
80x122x10/18;Estopera Trasera/Interna Hyundai H70;;80;122;10/18.;2,70;6,00;6,75;ESTOPERAS DE RUEDA ;80917ET;
90033-11031;Estopera, Toyota Dyna Modelo Nuevo Trasera Interna (Frenos Con Bandas);;127;147;11;6,00;13,33;15,00;ESTOPERAS DE RUEDA ;127923;
90033-11032;Estopera, Toyota Dyna Modelo Nuevo Trasera Externa (Frenos Con Bandas);;57;124;13;8,00;17,78;20,00;ESTOPERAS DE RUEDA ;57901P;
90033-19009;Estopera, Toyota Dyna Modelo Nuevo Delantera (Frenos Con Bandas);;101;114;10;3,60;8,00;9,00;ESTOPERAS DE RUEDA ;101901;
90311-41003-J;Estopera, Toyota Corolla Trasera T1169;;41;55;6;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;;
90311-42055;Estopera, Toyota Corolla Trasera;;44;55;7;1,20;2,67;3,00;ESTOPERAS DE RUEDA ;42527;
90311-47001;AE2742-FO Estopera Rueda Trasera 2F/3F;;47.5;70.65;9;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;47029;
90311-47001N;Estopera Rueda Trasera LandCruiser Samurai;;53,97;80.16;11,9/15;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;53027;
90311-47029;Estopera Rueda Trasera, M/V Metalica, Toyota Modelo Viejo;;47.60;70.65;13.5;2,00;4,44;5,00;ESTOPERAS DE RUEDA ;TW;
90311-48001;Estopera Rueda Trasera Toyota Hilux  TW;;48;62;7/9.;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;;
90311-62001;Estopera, Toyota Land Cruiser (77/83) Delantera;;62;85;8/10.;1,40;3,11;3,50;ESTOPERAS DE RUEDA ;62827;
90311-66001;Estopera Rueda Delantera Toyota Hilux 4x4;;66;85;8/10.;3,00;6,67;7,50;ESTOPERAS DE RUEDA ;;
90311-68001;Estopera, Toyota Dyna Con Pastilla: Delantera;;68;90;10;3,00;6,67;7,50;ESTOPERAS DE RUEDA ;68932;
90311-75003;Estopera, Toyota Dyna Trasera Model (Frenos De Pastillas) ;;75;108;10/20.;6,60;14,67;16,50;ESTOPERAS DE RUEDA ;75963;
98HU/1175/AA;Estopera, Ford Cargo 815 Trasera;;82.05;114.3;13;12,00;26,67;30,00;ESTOPERAS DE RUEDA ;82003;
ATP105;Estopera Universal De Hidrovack (Marca LYO);;38.5;50.8;7.95;0;0,00;0,00;ESTOPERAS DE RUEDA ;38074;
ATP-105;Estopera Universal De Hidrovack(China Caja Roja);;38.5;50.8;7.95;1,30;2,89;3,25;ESTOPERAS DE RUEDA ;38074;
E289;Estopera Trasera Chevrolet Spark;;32;52;7;0,80;1,78;2,00;ESTOPERAS DE RUEDA ;;
F4TZ-1S177-BA;Estopera Trasera Ford F-350 Triton Modelo Nuevo;;87.6;121.25;21.2;20,00;44,44;50,00;ESTOPERAS DE RUEDA ;87015;
GM#20889025;Chevrolet Cheyenne 3500 Trasera ,Estopera Giratoria;;75;101,4/107,8;14,1;16,00;35,56;40,00;ESTOPERAS DE RUEDA ;;
MB025295;Estopera, Mitsubishi Canter Delantera;;72;94;10;2,40;5,33;6,00;ESTOPERAS DE RUEDA ;72951;
MB308965;Estopera Trasera Interna Mitsubishi Canter Nuevo 659;;84;127;13;6,50;14,44;16,25;ESTOPERAS DE RUEDA ;84927E;
MB308966;Estopera Trasera Externa Mitsubishi Canter Nuevo;;56;114;10;5,00;11,11;12,50;ESTOPERAS DE RUEDA ;56904;
MB526395;Estopera, Mitsubishi Montero, Hyundai Galloper, Chery Grand Tiger;;58;75;7,5/11;3,60;8,00;9,00;ESTOPERAS DE RUEDA ;58743;
MB808443;Estopera Rueda Delantera Interna Mitsubishi Lancer/Mirage;;54;76;08/11.;2,50;5,56;6,25;ESTOPERAS DE RUEDA ;54709;
MC807438;Estopera Rueda Trasera Interna Camiòn FSR Chevrolet/395563O (07/08);;154;172;14;7,20;16,00;18,00;ESTOPERAS DE RUEDA ;154903ET;
MH034085;Estopera Rueda Delantera Camión Mitsubishi FK 615;;102;116;14;3,00;6,67;7,50;ESTOPERAS DE RUEDA ;102922ET;
MH034193;Estopera Trasera Externa Mitsubishi FH 215,217;;57;123;14.5/24;4,80;10,67;12,00;ESTOPERAS DE RUEDA ;57903;
MXC2689;Estopera, Chevrolet C-10 Trasera Externa Set-10 Dana (Caja Roja);;47.62;72.77;12.4/15;2,80;6,22;7,00;ESTOPERAS DE RUEDA ;Caja Roja;
O3461793;Estopera, Chevrolet Corsa Trasera;;40;52/62;8,5;0,90;2,00;2,25;ESTOPERAS DE RUEDA ;;
XC45/1190A2/A;Estopera, Ford Cargo 815 Delantera;;57;84;8;1,80;4,00;4,50;ESTOPERAS DE RUEDA ;57802ET;
