KIT DE CALIPER NACIONALES (AKRON);;;;;;;;;;;
Referencia;Descripcion;Para;Diametro mm ;;;COSTO;CARACAS;ORIENTE;CATEGOTRIA;EQUIVALENCIA;MARCA
MXC014KB;"Kit de Reparacion para Bomba, Chery Arauca 13/16""";;;;;4,00;8,89;10,00;KIT DE REPARACION DE BOMBAS DE FRENO IMPORTADO;;
;;;;;;;;;;;
;;;;;;;;;;;
KIT DE REPARACION DE BOMBAS DE FRENO (SOLO GOMAS) NACIONAL;;;;;;;;;;;
Referencia;Descripcion;CANTIDAD ;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
KB-231459;Kit de Reparacion para Bomba, Caribe ( Todos );;"7/8""";;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;001;
KB-4329;Kit de Reparacion para Bomba, Caribe (Bomba TAIWAN, 2 Huecos, (83/87) ;;"7/8""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;002;
KB-7021;Kit de Reparacion para Bomba, Neon;;21mm;;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;003;
KB-F71664;Kit de Reparacion para Bomba, Dart / Coronet / D-100, (71-76);;"1-1/32""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;004;
KB-F80267;Kit de Reparacion para Bomba, Dart, (71/76) Frenos de Disco;;"15/16""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;005;
KB-F101928;Kit de Reparacion para Bomba, Dodge 100/300/RAM (DELCO) Hueco Pequeño ;;"1-1/8""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;006;
KB-F101928E;Kit de Reparacion para Bomba, Dodge 100/300 Bendix Hueco Pequeño, (Especial) ;;"1-1/8""";;;4,76;10,58;11,90;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;007;
KB-13320;Kit de Reparacion para Bomba, Daewoo Racer, Espero 2000;;"7/8""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;008;
KB-13330;Kit de Reparacion para Bomba, Racer /Espero 1500 ;;"13/16""";;;2,94;6,54;7,36;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;009;
KB-13125;Kit de Reparacion para Bomba, Daihatsu Delta 97;;28,57mm;;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;010;
KB-1904PR;Kit de Reparacion para Bomba, (Fiat Uno/Premio Bomba Tipo Bendix), Renault R11-16, VW Escarabajo;;19.05mm;;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;011;
KB-1905;Kit de Reparacion para Bomba, Fiat, (Bomba Doble), 4 Piezas;;19,05mm;;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;012;
KB-1910;Kit de Reparacion para Bomba, Fiat, (Bomba Doble), 5 Piezas;;19,05mm;;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;013;
KB-1915;Kit de Reparacion para Bomba, Regata, Ritmo;;19,05mm;;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;014;
KB-1920;Kit de Reparacion para Bomba, Fiat 131/132/125, Ritmo (84-85), LADA;;19,05mm;;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;015;
KB-1925;Kit de Reparacion para Bomba, Fiat 147, UNO, Premio, Taxi, Pick Up.;;19,05mm;;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;016;
KB-1935;Kit de Reparacion para Bomba, Fiat UNO 90/97, Premio Bomba Corta ;;"13/16""";;;4,34;9,64;10,85;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;017;
KB-1940;Kit de Reparacion para Bomba, Fiat Ritmo 131/132 ;;"3/4""";;;3,36;7,47;8,40;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;018;
KB-1945;Kit de Reparacion para Bomba, Fiat Regata 2000;;"13/16""";;;1,82;4,04;4,55;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;019;
KB-1950;Kit de Reparacion para Bomba, Fiat Regata (86+) ;;"13/16""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;020;
KB-8628;Kit de Reparacion para Bomba, Fiat Palio, (Con o´ring);;"13/16""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;021;
KB-0016-7;Kit de Reparacion para Bomba, Ford Corcel II, Del Rey.;;"13/16""";;;4,90;10,89;12,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;022;
KB-0070-0;Kit de Reparacion para Bomba, Corcel II (Piston Amar) Bomba Varga ;;"7/8""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;023;
KB-2004;Kit de Reparacion para Bomba, Ford Corcel II, Bomba Nacional. ;;"13/16""";;;5,18;11,51;12,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;024;
KB-12392;Kit de Reparacion para Bomba, Ford Festiva, Chevrolet Spark;;"3/4""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;025;
KB-22145;Kit de Reparacion para Bomba, F-350 Modelo Nuevo ;;"1-1/8""";;;4,34;9,64;10,85;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;026;
KB-51900;Kit de Reparacion para Bomba, Ford Fiesta;;"3/4""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;027;
KB-60900;Kit de Reparacion para Bomba, Ford Serra (ALEMAN);;"15/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;028;
KB-60910;Kit de Reparacion para Bomba, Sierra 280 ;;"15/16""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;029;
KB-60920;Kit de Reparacion para Bomba, Serra 280 (Bomba Nacional) ;;"15/16""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;030;
KB-F105809;Kit de Reparacion para Bomba, Zephyr, Cougar, Granada (82-85);;21mm;;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;031;
KB-F110920;Kit de Reparacion para Bomba, Ford F-350 (84-87) ;;"1-1/8""";;;4,62;10,27;11,55;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;032;
KB-F110920N;Kit de Reparacion para Bomba, Ford F-350, (84-87), Bomba Nacional;;"1-1/8""";;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;033;
KB-F114084;Kit de Reparacion para Bomba, F-100/150 Explorer (Bendix), Bomba de Hierro Pistón de Aluminio;;"1-1/16""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;034;
KB-F114085N;Kit de Reparacion para Bomba, F-350/Econoline (87-90), Wagoneer, Bomba Nacional;;"1/1/8""";;;3,64;8,09;9,10;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;035;
KB-F59048;Kit de Reparacion para Bomba, Ford Galaxie 500 (68/71);;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;036;
KB-F71506;Kit de Reparacion para Bomba, Ford F-100 (68/72);;"1""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;037;
KB-F71594;Kit de Reparacion para Bomba, Ford Falcon / Maverick (67/73);;"1""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;038;
KB-F80904;Kit de Reparacion para Bomba, Ford LTD/Galaxie 500/Fairlane 500 (73/79);;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;039;
KB-F83073;Kit de Reparacion para Bomba, Ford F-100 (73/76);;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;040;
KB-F85366;Kit de Reparacion para Bomba, Ford Maverick (74/76);;"15/16""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;041;
KB-F83075;Kit de Reparacion para Bomba, Ford F-350 (73/75);;"1-1/4""";;;3,92;8,71;9,80;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;042;
KB-F97935;Kit de Reparacion para Bomba, Ford 100/150 (77/87);;"1""";;;4,48;9,96;11,20;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;043;
KB-F99083;Kit de Reparacion para Bomba, Ford F-350;;"1-1/16""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;044;
KB-F99085;Kit de Reparacion para Bomba, Zephyr, (Bomba de Hierro);;"7/8""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;045;
KB-F99085N;Kit de Reparacion para Bomba, Fairmont / Zephyr (Bomba Nacional);;"7/8""";;;3,36;7,47;8,40;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;046;
KB-0021-3;Kit de Reparacion para Bomba, Chevrolet Monza, (Bomba Varga);;"13/16""";;;4,90;10,89;12,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;047;
KB-0030;Kit de Reparacion para Bomba, Monza ;;"7/8""";;;5,18;11,51;12,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;048;
KB-0030A;Kit de Reparacion para Bomba, Monza, (Ampliado) ;;"7/8""";;;5,88;13,07;14,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;049;
KB-2220;Kit de Reparacion para Bomba, Swift 1.6;;"13/16""";;;2,66;5,92;6,66;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;050;
KB-2310N;Kit de Reparacion para Bomba, Chevette (Bomba Nacional,  1310 Sun Brake);;"13/16""";;;2,10;4,67;5,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;051;
KB-2315N;Kit de Reparacion para Bomba, Chevette, (Piston Ciego) Bomba Nacional.;;"13/16""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;052;
KB-2453;Kit de Reparacion para Bomba, Chevette (Bomba Forum) ;;"13/16""";;;2,10;4,67;5,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;053;
KB-2467;Kit de Reparacion para Bomba, Corsa (Bomba Forum) ;;"13/16""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;054;
KB-2660;Kit de Reparacion para Bomba, Chevette (85/87) Piston Ciego ;;"13/16""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;055;
KB-2665;Kit de Reparacion para Bomba, Chevette (81/85) Piston Profundo ;;"13/16""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;056;
KB-2688;Kit de Reparacion para Bomba, Chevette (87/89) Bomba Kapitol ;;"13/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;057;
KB-26830;Kit de Reparacion para Bomba, Chevrolet NPR (Bombin Principal y Auxiliar) ;;"1"" y 3/4""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;058;
KB-76234;Kit de Reparacion para Bomba, Corsa (Cilindro Forum) ;;"13/16""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;059;
KB-F101263;Kit de Reparacion para Bomba, Malibu/Monte Carlo 81;;"15/16""";;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;060;
KB-F104459;Kit de Reparacion para Bomba, Caprice (81/82), C-10 (81/87), Wagoneer (81/87);;"1-1/8""";;;3,64;8,09;9,10;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;061;
KB-F105803M;Kit de Reparacion para Bomba, Malibu/Monte Carlo (82) ;;"15/16""";;;1,82;4,05;4,55;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;062;
KB-F107051;Kit de Reparacion para Bomba, Malibu/Monte Carlo (83/84);;"15/16""";;;2,10;4,67;5,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;063;
KB-F107056;Kit de Reparacion para Bomba, Century /Celebrity (83/86) ;;"15/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;064;
KB-F71621/97613;Kit de Reparacion para Bomba, Caprice (71/80), MALIBÙ (71/77), C-10 (76/80), WAG (75/80);;"1-1/8""";;;6,44;14,31;16,10;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;065;
KB-F71621E;Kit de Reparacion para Bomba, Caprice (71/80), Malibu (71/77), C-10 (76/80), Wagoneer (75/80), Especial ;;"1-1/8""";;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;066;
KB-F71621N;Kit de Reparacion para Bomba, Caprice (71/80), Malibu (71/77), C-10 (76/80), Wagoneer (75-80), Nacional;;"1-1/8""";;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;067;
KB-F86511;Kit de Reparacion para Bomba, Chevrolet Buseta Serie: 30 (G-30);;"1-5/16""";;;3,78;8,40;9,45;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;068;
KB-F98059;Kit de Reparacion para Bomba, Dodge RAM C-30, (71/78), C-20 (71/80);;"1-1/4""";;;4,62;10,27;11,55;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;069;
KB-F99032;Kit de Reparacion para Bomba, Chevrolet Malibu/Monte Carlo (78/80);;"15/16""";;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;070;
KB-1587;Kit de Reparacion para Bomba, Bombin Cherokee/Luv, (Superior);;"11/16""";;;1,40;3,11;3,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;071;
KB-13370;Kit de Reparacion para Bomba, Hyundai Series: Elantra/Excel;;"7/8""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;072;
KB-32380A;Kit de Reparacion para Bomba, Mercedez Benz 280. (Ampliado);;"15/16""";;;3,78;8,41;9,46;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;073;
KB-F105873;Kit de Reparacion para Bomba, Jeep CJ5/CJ7 (76/86), Freno Potencia;;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;074;
KB-F105875;Kit de Reparacion para Bomba, Jeep CJ5/CJ7 (79/83) Freno Mecanico;;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;075;
KB-F106167;Kit de Reparacion para Bomba, Jeep CJ5/CJ7 (70/75);;"1""";;;2,10;4,67;5,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;076;
KB-F98059A;Kit de Reparacion para Bomba, Cheyenne 1500/3500/C-30 (97), Bomba de Aluminio;;"1-1/4""";;;4,90;10,89;12,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;077;
KB-9009;Kit de Reparacion para Bomba, Lada Niva (Bombin Clutch);;19,05mm;;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;078;
KB-46-2063;Kit de Reparacion para Bomba, Mazda 323 (87+)  ;;"13/16""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;079;
KB-46-2220PR;Kit de Reparacion para Bomba, Mazda 323 NX (88/90) ;;"7/8""";;;3,92;8,71;9,79;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;080;
KB-46-2225B;Kit de Reparacion para Bomba, Mazda B2200;;"7/8""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;081;
KB-46-2230;Kit de Reparacion para Bomba, Mazda 323/626, Volkswagen Gol;;"7/8""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;082;
KB-32380M;Kit de Reparacion para Bomba, Mercedez Benz 280  (Modificado);;"15/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;083;
KB-1906A;Kit de Reparacion para Bomba, Renault R-4 / R-12, (Bomba Simple);;19,05mm;;;1,68;3,73;4,20;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;084;
KB-1918;Kit de Reparacion para Bomba, Renault (12/18) (1600);;19,05mm;;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;085;
KB-2063PR;Kit de Reparacion para Bomba, Renault 11, R18 (2000), FUEGO ;;"13/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;086;
KB-1A020;Kit de Reparacion para Bomba, Toyota Corolla, (93 +) ;;"13/16""";;;1,96;4,36;4,90;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;087;
KB-12430;Kit de Reparacion para Bomba, Toyota Corolla (82/86, 89/92) ;;"13/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;088;
KB-60060;Kit de Reparacion para Bomba, Toyota ;;"1""";;;3,36;7,47;8,40;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;089;
KB-60070;Kit de Reparacion para Bomba, Toyota Land Cruiser, Pick-Up 88/92, SAMURAI ;;"7/8""";;;3,64;8,09;9,10;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;090;
